Attribute,LongHints,Reverse_GPT_Test
aaiaBrandID,"A unique identifier that is assigned to a particular brand by the Automotive Aftermarket Industry Association.

-AaiaBrandID 106 corresponds to the brand ""ACDelco"".
-AaiaBrandID 329 corresponds to the brand ""Bosch"".
-AaiaBrandID 28 corresponds to the brand ""Denso"".
-AaiaBrandID 817 corresponds to the brand ""NGK"".",Pass
academicInstitution,"An academic institution is an organization that provides educational opportunities, such as colleges and universities.

-University of California, Berkeley
-Harvard University
-Massachusetts Institute of Technology",Pass
accessoriesIncluded,"An accessory is a small article or set of articles of personal adornment, as jewelry, or clothing, carried or worn with one's main article of clothing. 
The attribute ""accessoriesIncluded"" would be used to list what accessories come with an article of clothing, like a belt, scarf, or cufflinks.",Fail
action_figure_accessory_type,"An action figure accessory is a small toy or item that can be added to an action figure to enhance its play value. The most common accessory types are weapons, tools, and vehicles.

-Weapons: guns, knives, swords, etc.
-Tools: hammers, screwdrivers, wrenches, etc.
-Vehicles: cars, planes, boats, etc.",Fail
action_figure_type,"An action figure is a toy designed to look like a human, animal, or mythical creature, and is often used as a hobby for children and adults to play with.

Types of action figures can include: 
-Superheroes
-Star Wars characters
-Disney Princesses
-Barbie dolls",Fail
activeIngredients,"-A substance that is the main ingredient of a mixture (such as a drug or cosmetic)
-Examples: aspirin, capsaicin, retinol",Fail
activity,"-Actions that a person or thing performs: ""He wrote a book and he's very active in local politics.""
-The state or quality of being active: ""The active ingredient in the medicine.""
-The degree to which an account or user is used on a particular site: ""This user is more active on our competitors' site.""
-A page on a website that a user visits: ""The most active page on our site is the home page.""",Fail
actors,"Actors are the people who play the roles in a piece of theater, movie, television show, or video game. 

-Meryl Streep 
-Tom Hanks 
-Leonardo DiCaprio 
-Jennifer Lawrence",Fail
additionalBISACSubjectCodes,"A list of additional BISAC subject codes that are associated with a given product.

-BISAC codes are standardized codes that categorize books by subject matter.
-They are used to arrange books on shelves and to support search and discovery on retail and library websites.
- additionalBISACSubjectCodes can be used to capture subjects that are not well represented by the main BISAC subject code.
-For example, a book about the history of the video game industry might have the main BISAC code of ""COMPUTERS / History"" but could also have additional BISAC codes of ""GAMES / Video & Electronic"" and ""SOCIAL SCIENCE / Popular Culture.""",Pass
adhesive_form,adhesive_form: a category of adhesives distinguished according to the Lisbon classification system,Fail
adhesive_tape_type,"- Adhesive tape, also known as sticky tape, is a type of pressure-sensitive tape used to adhere two surfaces together. 
- The most common type of adhesive tape is Pressure-sensitive tape (PSA tape).
- Other types of adhesive tape include: double-sided tape, masking tape, electrical tape, and duct tape.

- Adhesive tapes are available in a variety of colors, widths, and lengths.
- Adhesive tapes are made from a variety of materials, including: paper, plastic, metal, and fabric.",Fail
advent_calendar_type,"An advent calendar is a type of calendar, often used to count down the days until Christmas.

-Chocolate Advent Calendar 
-Tea Advent Calendar 
-Wine Advent Calendar 
-Beer Advent Calendar 
-Beauty Advent Calendar 
-Cheese Advent Calendar",Fail
aftershave_treatment_type,"An aftershave is a lotion, gel, balm, or other liquid that is applied to the skin after shaving. The main purpose of aftershave is to restore moisture to the skin and to soothe any irritation that may have been caused by the shaving process. Aftershaves are also often used to mask the scent of the shaving cream or soap that was used.

-Lotion
-Gel
-Balm
-Other liquid",Fail
age_demographic,"The age_demographic attribute is used to identify the target age group of a product.

-For example, a product with an age_demographic of ""kids"" is intended for kids aged 5-12.
-A product with an age_demographic of ""teens"" is intended for teenagers aged 13-19. 
-A product with an age_demographic of ""adults"" is intended for adults aged 20 and up.",Pass
age_restriction,"The age_restriction attribute is used to indicate the minimum age required to purchase or use a product.

-""This video game is rated M for Mature and has an age_restriction of 17+.""
-""You must be 21 years of age or older to purchase this product. age_restriction=21""
-""Due to the age_restriction of this movie, no one under the age of 13 will be admitted.""",Pass
ageGroup,"The age group to which a product is marketed.

-A product may be marketed to children, teens, adults, or seniors.
-The age group may be determined by the product's content, themes, or targeting.
-Age group may also be referred to as ""target audience.""",Fail
ageRangeUnit,"Unit of measure for age ranges, either years or months.

-For products marketed to children under the age of 2, age ranges are generally given in months.
-For all other products, age ranges are given in years.
-Some products may be appropriate for use outside of the stated age range.",Fail
air_bed_type,"An air bed is an inflatable mattress, often used for camping or as a temporary bed.

-Intex Queen 22"" DuraBeam Standard Raised Pillow Rest Airbed Mattress with Built-in Pump
-Sable Air Mattress Queen Size Inflatable Bed with Built-in Pump
-Coleman SupportRest Double High Airbed",Fail
airbrush_tanning_system_type,"A product's airbrush tanning system type specifies the type of airbrush system used to apply the tanning solution. The most common types of airbrush tanning systems are HVLP (high volume, low pressure) and LVLP (low volume, low pressure).

Examples:
- HVLP airbrush tanning systems use a compressor to generate a large volume of air at low pressure. This type of system is well-suited for applying tanning solutions evenly and smoothly.
- LVLP airbrush tanning systems use a small, portable compressor to generate a small volume of air at low pressure. This type of system is well-suited for applying tanning solutions to small areas.",Fail
allergens_not_contained,"-A product attribute that notes what allergens are not present in the product 
-This would be beneficial for those with severe allergies who need to avoid specific ingredients 
-For example, a product that is labeled ""allergens_not_contained: tree nuts"" would be safe for someone with a tree nut allergy to consume

Attribute: low_sodium

-A product attribute that notes the amount of sodium present in the product
-This would be beneficial for those who need to limit their sodium intake for dietary or medical reasons
-For example, a product that is labeled ""low_sodium: 40 mg"" would be a low sodium product",Fail
alphanumericCharacter,"An alphanumeric character is a character that is either a number or a letter.

Examples:

-A
-4
-Z
-9
-G",Fail
alternateTitle,"An alternate title is a title that can be used in place of the primary title. Examples of alternate titles arenicknames, shortened versions of the primary title, or alternative spellings.

-Nicknames: ""Bob"" instead of ""Robert"" 
-Shortened versions of the primary title: ""Dr."" instead of ""Doctor,"" ""Prof."" instead of ""Professor"" 
-Alternative spellings: "" colour"" instead of ""color""",Pass
americanWireGuage,"The American Wire Gauge (AWG) is a standardized system for measuring the diameter of non-ferrous, electrically conducting wire. 
-The AWG standard includes copper, aluminum and other electrical conducting wire. 
-Diameters of Electrical Wires by AWG Number. 
-The American Wire Gauge (AWG) is a standardized system for wire diameter.",Fail
