Column_Name,Column_Definition,Used as
core_level1_code,Asset Type Level 1 - Identifier,Identifier
stat_fx_book_value_amount,Book Value - Dollar Amount,Aggregation
risk_owner_name,Risk Owner - Identifier,Identifier
reinsurance_deal_code,Reinsurance Deal - Identifier,Identifier
security_instrument_identifier,Security Instrument - Identifier,Identifier
portfolio_identifier,Portfolio - Identifier,Identifier
legal_entity_code,Legal Entity - Identifier,Identifier
entity_name,Entity - Identifier,Identifier
portfolio_name,Portfolio Name - Identifier,Identifier
entity_short_name,Entity Short Name - Identifier,Identifier
cgaap2_base_net_unrealized_security_gain_loss_amount,Gain or Loss - Dollar Amount,Aggregation
stat_book_yield_rate_number,Yield - Dollar Amount,Aggregation
core_level2_code,Asset Type Level 2 - Identifier,Identifier
core_level3_code,Asset Type Level 3 - Identifier,Identifier
core_level4_code,Asset Type Level 4 - Identifier,Identifier
country_code,Country Code - Identifier,Identifier
ultimate_issuer_name,Name of Issuer - Identifier,Identifier
block_flow_prt_code,If not null then 'Institutional Business' - Identifier,Identifier
ticker_code_sm,Stock/Listing Ticker - Identifier,Identifier
cusip_identifier,CUSIP - Identifier,Identifier
asset_manager_name,Name of Asset Manager - Identifier,Identifier
zero_volatility_spread_amount,Zero Volatility Spread - Dollar Amount,Aggregation
asset_required_for_bs,Asset Subject to BSCR (Y/N) - Identifier,Identifier
naic_designation_code,NAIC Designation - Identifier,Identifier
currency_code,Currency Code - Identifier,Identifier
