Question,Instructions
What is the current AUM managed by GA?,use book value fields (stat_fx_book_value_amount with b_as_of_date) for AUM
How has Book Value changed between This month and last,"primary book value should be stat_fx_book_value_amount but useful to return market value , fourth and market value as secondary info"
What was the average book yield at the end of 2022 for Ivy Assets,for ivy userisk owner like 'IVY%'
How has the average book yield changed YTD by Asset class?,"where asset class is specified, use core_level1_code for higher level breakdown."
What is the percentage breakdown of my portfolio by Asset Class,"for percent splits across the portfolio, typically use aum aka stat_fx_book_value"
What have been the month by month changes in AUM since 2017? (not we only have accounting history since CW),for AUM use stat_fx_book_value primarily
What is the notional of CMLs in the Carolina block,"for notional, assume stat_fx_book_value, where blocks are requested, use reinsurance deal code for the condition using the block name as the value"
How many floater securities on SOFR indices?,"floaters, floating, fixed, variable terms equate to coupon type code."
What is the USD book value of ou non USD assets?,"primary book value should be stat_fx_book_value_amount but useful to return market value , fourth and market value as secondary info"
how has the market value of our Credit portfolio changed YTD?,"use core_level1_code to filter credit, worthwhile also brekaing down by core_level2 code. For ""changed"" compute the difference and %difference in totals between the two dates"
what is our current book value by currency?,sum total stat_fx_book_Value group by currency_code
How much exposure do we have to Rail Car assets?,"translate ""exposure"" as book value. To determine rail car assets filter on core levels containing Rail"
what is the Yield Trend of our Airplane assets over past 3 years?,for trends translated as time series of book values. User core levels to filter those containing aviation
What is our YTD Gain/Loss in the Resi sector?,"for sector = core_level1_code ontaining ""resi"""
How much exposure do we have that is subject to BSCR?,"translate ""exposure"" as book value, for BSCR use asset_required_for_bs = Y"
what is the book value of assets expiring in 2024?,"for expiring, expiry use maturity. As an asset query include the asset level context fields from ""considerations"" tab"
What is the book value and average yield for all our FLIC assets?,"to determine FLIC assets use entity_short_name = 'FORELIFINS"" (FLIC = Forthought life insruance company)"
Provide a breakdown of AUM by GL ledger code,by default use stat GL ledger code stat_general_ledger_grouping_code
What is our exposure broken down by NAIC designation?,"translate ""exposure"" as book value, naic_designation_code for grouping"
What are the top 10 deals by AUM?,"for AUM use stat_fx_book_value and reinsurance _deal_code for grouping, order by total stat book value desc and take first 10"
Which deals have the best performing yield?,"compute weighted average stat_book_yield grouping by reinsurance deal code, exlcuding records with null yields, order descending and take a sample (eg 10)"
What is the average duration by legal entity?,"group by legal entity code and return other entity context info in the results,"
What is the YTD OAS Trend for credit products broken down by L2?,"computed weighted averga oas from jan 1 to date, corelevel1_code = 'Credit' and group by corelevel2"
What is the open accrued balances by core level 1?,calculate total accrued balance grouping by core_level1_code
how many distinct assets are rated by Egan Jones?,look for records where egan jones rating code is not null and not N/A. return distinct count at security key level (security_instrument_identifier)
